home_team,away_team,home_goals,away_goals,home_xG,away_xG,home_xGA,away_xGA
Manchester Utd,Manchester City,0,0,0.9,0.5,0.5,0.9
Leicester City,Newcastle Utd,0,3,0.5,3.2,3.2,0.5
Manchester City,Crystal Palace,5,2,3.7,1.8,1.8,3.7
Brighton,Leicester City,2,2,3.8,1.5,1.5,3.8
Southampton,Aston Villa,0,3,0.3,3.0,3.0,0.3
Nott'ham Forest,Everton,0,1,0.5,1.4,1.4,0.5
Arsenal,Brentford,1,1,1.0,0.2,0.2,1.0
Liverpool,West Ham,2,1,1.8,1.4,1.4,1.8
Chelsea,Ipswich Town,2,2,2.2,1.1,1.1,2.2
Wolves,Tottenham,4,2,2.4,2.0,2.0,2.4
Newcastle Utd,Manchester Utd,4,1,2.2,0.7,0.7,2.2
Bournemouth,Fulham,1,0,1.4,1.0,1.0,1.4
Newcastle Utd,Crystal Palace,5,0,1.5,2.0,2.0,1.5
Everton,Manchester City,0,2,0.9,2.0,2.0,0.9
West Ham,Southampton,1,1,0.9,0.6,0.6,0.9
Crystal Palace,Bournemouth,0,0,0.4,0.7,0.7,0.4
Brentford,Brighton,4,2,2.1,1.4,1.4,2.1
Aston Villa,Newcastle Utd,4,1,2.2,1.0,1.0,2.2
Fulham,Chelsea,1,2,0.3,0.9,0.9,0.3
Ipswich Town,Arsenal,0,4,0.2,2.4,2.4,0.2
Manchester Utd,Wolves,0,1,1.3,0.2,0.2,1.3
Leicester City,Liverpool,0,1,0.3,2.5,2.5,0.3
Tottenham,Nott'ham Forest,1,2,2.1,0.5,0.5,2.1
Manchester City,Aston Villa,2,1,1.3,1.8,1.8,1.3
Arsenal,Crystal Palace,2,2,1.2,1.7,1.7,1.2
Chelsea,Everton,1,0,0.8,0.4,0.4,0.8
Brighton,West Ham,3,2,1.3,1.3,1.3,1.3
Wolves,Leicester City,3,0,2.0,1.1,1.1,2.0
Southampton,Fulham,1,2,0.6,2.4,2.4,0.6
Newcastle Utd,Ipswich Town,3,0,2.4,0.1,0.1,2.4
Bournemouth,Manchester Utd,1,1,0.5,2.3,2.3,0.5
Liverpool,Tottenham,5,1,2.2,0.5,0.5,2.2
Nott'ham Forest,Brentford,0,2,0.9,1.3,1.3,0.9
Manchester City,Wolves,1,0,0.7,0.4,0.4,0.7
Aston Villa,Fulham,1,0,1.0,0.9,0.9,1.0
Leicester City,Southampton,2,0,1.4,0.5,0.5,1.4
Everton,Ipswich Town,2,2,0.6,0.8,0.8,0.6
Arsenal,Bournemouth,1,2,1.4,0.9,0.9,1.4
Brighton,Newcastle Utd,1,1,0.7,1.7,1.7,0.7
West Ham,Tottenham,1,1,0.8,0.8,0.8,0.8
Brentford,Manchester Utd,4,3,2.8,1.5,1.5,2.8
Chelsea,Liverpool,3,1,3.1,1.0,1.0,3.1
Crystal Palace,Nott'ham Forest,1,1,2.3,0.7,0.7,2.3
Ipswich Town,Brentford,0,1,0.9,1.4,1.4,0.9
Fulham,Everton,1,3,0.8,1.1,1.1,0.8
Wolves,Brighton,0,2,0.9,1.6,1.6,0.9
Southampton,Manchester City,0,0,0.1,1.7,1.7,0.1
Bournemouth,Aston Villa,0,1,0.8,1.0,1.0,0.8
Newcastle Utd,Chelsea,2,0,1.6,0.7,0.7,1.6
Nott'ham Forest,Leicester City,2,2,1.3,1.1,1.1,1.3
Tottenham,Crystal Palace,0,2,0.7,3.4,3.4,0.7
Manchester Utd,West Ham,0,2,2.1,1.7,1.7,2.1
Liverpool,Arsenal,2,2,2.4,2.6,2.6,2.4
Aston Villa,Tottenham,2,0,1.4,0.5,0.5,1.4
Chelsea,Manchester Utd,1,0,0.8,0.3,0.3,0.8
Everton,Southampton,2,0,2.7,1.2,1.2,2.7
West Ham,Nott'ham Forest,1,2,1.1,1.9,1.9,1.1
Brentford,Fulham,2,3,2.5,1.0,1.0,2.5
Leicester City,Ipswich Town,2,0,0.8,1.4,1.4,0.8
Arsenal,Newcastle Utd,1,0,0.6,1.5,1.5,0.6
Brighton,Liverpool,3,2,2.2,2.2,2.2,2.2
Manchester City,Bournemouth,3,1,1.5,1.1,1.1,1.5
Crystal Palace,Wolves,4,2,1.7,1.4,1.4,1.7
Manchester Utd,Aston Villa,2,0,2.9,0.4,0.4,2.9
Ipswich Town,West Ham,1,3,0.7,1.1,1.1,0.7
Wolves,Brentford,1,1,1.0,1.4,1.4,1.0
Southampton,Arsenal,1,2,0.6,2.3,2.3,0.6
Liverpool,Crystal Palace,1,1,2.1,1.8,1.8,2.1
Nott'ham Forest,Chelsea,0,1,1.2,1.1,1.1,1.2
Fulham,Manchester City,0,2,1.3,3.0,3.0,1.3
Newcastle Utd,Everton,0,1,1.2,1.2,1.2,1.2
Bournemouth,Leicester City,2,0,1.6,0.3,0.3,1.6
Tottenham,Brighton,1,4,2.0,2.2,2.2,2.0
